road,id,model_type,condition,name,lat,lon,length
N1,1000568,link,,Km post missing,22.7513333,91.5903608,156.99999999998226
N1,1000569,bridge,A,VARTAGIA BOX CULVERT,22.7506393495689,91.5908840370689,3.0
N1,1000570,link,,Box culvert,22.7496386,91.5916386,231.99999999999932
N1,1000571,bridge,B,BOTHAGIA (-3) BOX CULVERT,22.7445136523437,91.5943998915364,8.1
N1,1000572,link,,Km post missing,22.7435552,91.5949163,768.0000000000007
N1,1000573,link,,Box culvert,22.7433052,91.5950274,32.00000000001069
N1,1000574,link,,Km post missing,22.7349997,91.5979441,967.9999999999893
N1,1000575,link,,Box culvert,22.7349163,91.5979719,12.000000000000455
N1,1000576,link,,Km post missing,22.7263882,91.6007778,987.9999999999995
N1,1000577,bridge,A,NIAZAMPUR BOX CULVERT,22.723316755473,91.6024331404452,3.0
N1,1000578,link,,Box culvert,22.7221104,91.6030833,539.0000000000157
N1,1000579,link,,Km post missing,22.7185549,91.6053056,460.9999999999843
N1,1000580,bridge,A,MIRJAPUR BOX CULVERT,22.7178243865384,91.6057623307692,3.0
N1,1000581,bridge,A,MIRZAPUR (2) BOX CULVERT,22.7172707342307,91.6061084846153,3.0
N1,1000582,link,,Box culvert,22.7165556,91.6065556,260.0000000000193
N1,1000583,link,,Box culvert,22.716,91.6069167,74.99999999998863
N1,1000584,link,,"Ctg 52 km,Sitakhada 12 km",22.7143889,91.6079444,215.0000000000034
N1,1000585,bridge,C,ISAMATI BOX CULVERT,22.7138727382812,91.6082352218749,19.2
N1,1000586,link,,Box culvert,22.7124167,91.6090556,256.0000000000002
N1,1000587,link,,Box Culvert,22.7076111,91.6118056,606.9999999999993
N1,1000588,link,,Km post missing,22.7065556,91.6123611,137.00000000000045
N1,1000589,link,,Box culvert,22.706,91.6126944,67.99999999998363
N1,1000590,link,,Box culvert,22.7033056,91.6142222,342.00000000001296
N1,1000591,bridge,A,DUKHIN UTHPAR BOX CULVERT,22.701816503937,91.6149734608923,19.2
N1,1000592,link,,Box culvert,22.7002222,91.6157778,381.0000000000002
N1,1000593,link,,"Ctg 50 km,Sitakanda 10 km",22.6984997,91.616666,219.99999999999886
